objid,ra,dec,u,g,r,i,z,class
1237648704577732624,184.8641903,0.1434416617,17.93407,16.64581,16.22206,16.07029,16.06046,STAR
1237648704577732627,184.8755286,0.03306081207,19.03059,18.10673,17.82561,17.71227,17.6878,STAR
1237648704577732629,184.8763144,0.1851513722,18.12978,17.17421,16.75108,16.5884,16.48527,STAR
1237648704577732659,184.9569855,0.1563602666,18.15079,16.77761,16.2215,16.02345,15.91957,STAR
1237648704577732678,184.8321997,0.0443065475,19.52092,17.58562,16.4269,15.94473,15.56269,GALAXY
1237648704577798182,184.9722153,0.0977542414,18.90592,17.46608,16.85369,16.58687,16.41878,STAR
1237648704577798192,184.9942751,0.1091609329,17.7019,16.76073,16.48746,16.38173,16.33654,STAR
1237648704577798195,185.0012555,0.06972382911,18.85351,17.97745,17.6112,17.45679,17.40576,STAR
1237648704577798233,185.0650695,0.1424428942,18.75478,17.58247,17.08046,16.87063,16.75911,STAR
1237648704577798243,185.0859131,0.09995385092,18.33616,17.30684,16.92903,16.78272,16.73807,STAR
1237648704577798292,185.0273854,0.09534609853,19.1713,18.01316,17.42493,17.04493,16.82237,GALAXY
1237648704577798298,185.0363883,0.1766775497,19.12083,17.92189,17.18494,16.7895,16.52258,GALAXY
1237648704577863722,185.1643757,0.07435806907,17.55001,17.42367,17.35734,17.19343,16.97589,QSO
1237648704577863739,185.2170514,0.1551938161,18.89707,18.04519,17.7501,17.6378,17.6124,STAR
1237648704577863764,185.1367288,0.07151406253,19.48347,17.51522,16.31651,15.83499,15.4368,GALAXY
1237648704577863838,185.2306077,0.01009958093,19.31764,18.38629,18.12009,17.9998,17.93916,STAR
1237648704577929245,185.3772509,0.2008037268,17.964,16.39632,15.74191,15.4828,15.32453,STAR
1237648720684974090,159.6249648,-0.6207144505,19.19383,18.20278,17.90109,17.77634,17.74759,STAR
1237648720685039745,159.7978416,-0.5571964656,19.19752,18.07471,17.76889,17.6148,17.49577,GALAXY
1237648720685039749,159.8033022,-0.5350386165,19.26627,18.16093,17.59907,17.2172,17.06311,GALAXY
1237648720685039769,159.8475235,-0.5342664,19.38251,17.92302,17.11018,16.66492,16.34558,GALAXY
1237648720685105261,159.9393455,-0.6091843231,19.48702,18.51823,18.18637,18.06704,18.05865,STAR
1237648720685105352,160.0342636,-0.4216257512,19.2634,17.67693,16.82551,16.42307,16.13864,GALAXY
1237648720685105353,160.0351619,-0.5999926686,19.31866,18.27407,17.74884,17.41618,17.24165,GALAXY
1237648720685170714,160.1442091,-0.4893297777,18.73682,17.65075,17.23958,17.07875,17.03255,STAR
1237648720685170803,160.119405,-0.6181300503,19.29416,17.97134,17.26079,16.86013,16.56031,GALAXY
1237648720685236313,160.2275468,-0.4331998668,19.48611,17.93822,17.21548,16.82853,16.53911,GALAXY
1237648720685236327,160.2486687,-0.5799923607,19.31804,17.30973,16.17525,15.69015,15.31261,GALAXY
1237648720685301855,160.3831151,-0.4592352307,19.29157,17.3125,16.17862,15.70898,15.31378,GALAXY
1237648720685301865,160.3848058,-0.5867047963,19.52565,19.29625,18.95885,18.52108,18.57694,QSO
1237648720685301891,160.4339517,-0.6084814978,19.38467,18.59734,18.12431,17.74761,17.63823,GALAXY
1237648720685301897,160.4436424,-0.6005497119,18.27173,17.0717,16.65145,16.39055,16.27766,GALAXY
1237648720685301915,160.4534919,-0.6170384172,19.10892,17.76311,16.91794,16.47233,16.19134,GALAXY
1237648720685367341,160.6582067,-0.4396039524,17.78707,16.12342,15.48934,15.2674,15.14027,STAR
1237648720685432836,160.6754542,-0.5597910875,17.54073,15.83706,15.15225,14.91498,14.82364,STAR
1237648720685432838,160.7170039,-0.6095335023,18.44119,17.54684,17.27727,17.1878,17.20361,STAR
1237648720685432844,160.7303546,-0.5217402125,19.13281,17.80045,17.2643,17.07242,16.98861,STAR
1237648720685432893,160.8121077,-0.520466085,19.42387,18.24594,18.31933,18.40867,18.52614,STAR
1237648720685432899,160.8166374,-0.5576737141,17.95812,16.9013,16.52805,16.39926,16.37399,STAR
1237648720685432904,160.8202892,-0.5222409797,16.344,14.85487,14.29812,14.12055,14.08315,STAR
1237648720685432926,160.7014882,-0.445422709,19.34314,18.12056,17.55584,17.19446,16.9961,GALAXY
1237648720685498405,160.8486802,-0.6270798722,17.73398,16.84657,16.57527,16.48237,16.4738,STAR
1237648720685498439,160.93824,-0.4232466184,17.37104,15.78487,14.98982,14.58674,14.25872,GALAXY
1237648720685498440,160.936366,-0.4213344129,19.51073,18.05851,17.59638,17.33996,17.29404,GALAXY
1237648720685498487,160.8619387,-0.4227349864,19.44424,18.23033,17.64066,17.2346,17.04825,GALAXY
1237648720685498544,160.878832,-0.5841095295,19.11186,17.90859,17.40774,17.19731,17.05761,GALAXY
1237648720685563922,160.9913453,-0.507477148,18.6673,16.70426,15.81967,15.40313,15.06115,GALAXY
1237648720685563944,160.9953137,-0.478531394,19.04517,17.87662,17.49664,17.37287,17.33316,STAR
1237648720685563948,160.9977374,-0.4689987593,17.94459,16.51015,15.8354,15.40969,15.10252,GALAXY
1237648720685563954,161.0084679,-0.5789647705,17.3725,16.25937,15.88727,15.75644,15.71021,STAR
1237648720685563980,161.0623439,-0.4947149148,16.45379,15.02962,14.56318,14.40143,14.359,STAR
1237648720685563984,161.0900299,-0.6124383825,19.26927,18.24939,17.96535,17.83665,17.80351,STAR
1237648720685563989,161.094801,-0.4520497855,17.8271,16.23793,15.67866,15.49427,15.41664,STAR
1237648720685563996,161.115243,-0.5756334068,17.88776,16.52607,16.03367,15.85057,15.80518,STAR
1237648720685564025,160.9911005,-0.5613725355,19.58396,17.64963,16.73063,16.29203,15.94702,GALAXY
1237648720685564031,160.9981591,-0.5883116717,18.1781,16.13568,15.28753,14.89827,14.56479,GALAXY
1237648720685564032,160.996765,-0.5882448924,18.38625,16.39808,15.40492,14.88012,14.50048,GALAXY
1237648720685564127,161.0643247,-0.4845870136,18.77188,17.15955,16.35564,15.94145,15.65799,GALAXY
1237648720685629451,161.1335288,-0.5698572531,16.63374,15.54072,15.18744,15.06259,15.03905,STAR
1237648720685629498,161.1805844,-0.4563974131,17.14849,15.83151,15.35753,15.18887,15.12737,STAR
1237648720685629515,161.2107488,-0.4333738859,16.23113,15.20485,14.95443,14.8674,14.86301,STAR
1237648720685629523,161.2265355,-0.4704636194,18.56268,17.14623,16.5559,16.29699,16.157,STAR
1237648720685629545,161.255471,-0.5319274766,17.47383,16.41803,16.07634,15.96205,15.90247,STAR
1237648720685629571,161.1426397,-0.4345740533,19.38031,18.07652,17.34212,16.86341,16.50079,GALAXY
1237648720685629588,161.1642017,-0.4344539048,19.05616,17.70945,16.99192,16.54076,16.26619,GALAXY
1237648720685629591,161.1736817,-0.5035454609,18.95158,17.47266,16.70008,16.29777,15.99012,GALAXY
1237648720148693178,161.0737895,-0.8927403404,19.11236,17.92701,17.42347,17.0868,16.83476,GALAXY
1237648720148693392,161.0244718,-0.962380281,18.86752,17.33773,16.80683,16.55789,16.38996,GALAXY
1237648720148758553,161.1941229,-1.023623943,18.95785,18.08318,17.78178,17.65689,17.61821,STAR
1237648720148758578,161.238814,-0.840751357,17.80041,16.46003,15.90095,15.66963,15.53772,STAR
1237648720148758595,161.2480303,-0.9581667886,18.76266,17.25724,16.68513,16.47563,16.38993,STAR
1237648720148824071,161.2734198,-0.9966689014,16.82701,15.30022,14.73089,14.5436,14.44859,STAR
1237648720148824098,161.3031007,-0.9642762864,19.01558,17.72445,17.18152,16.97813,16.85652,STAR
1237648720148824101,161.3075532,-1.046361578,17.72604,17.4621,17.24036,17.21479,17.09174,QSO
1237648720148824106,161.3076233,-0.9225295027,18.6769,17.78154,17.52458,17.42232,17.38025,STAR
1237648720148824141,161.3506918,-0.893119394,18.12173,16.84951,16.38322,16.20272,16.10719,STAR
1237648720148824155,161.3585111,-1.020013399,18.68765,18.61862,18.59058,18.50573,18.31973,QSO
1237648720148889604,161.4256487,-0.9910833268,18.82957,17.93844,17.56125,17.39783,17.33559,STAR
1237648720148889609,161.4407033,-0.9745331287,17.56939,16.61339,16.2723,16.13031,16.0821,STAR
1237648720148889820,161.4871696,-0.8792574922,19.56237,17.59451,16.7141,16.29138,15.95551,GALAXY
1237648720148889846,161.5643091,-1.017804433,19.56588,18.63518,18.09855,17.7029,17.48965,GALAXY
1237648720148955142,161.5783055,-0.8560356015,18.45709,17.05875,16.56312,16.35972,16.28534,STAR
1237648720148955280,161.6803789,-0.8758434422,18.0872,16.64009,16.17627,15.98626,15.92437,STAR
1237648720148955283,161.6933527,-0.9236903025,18.20489,17.12961,16.79656,16.62952,16.57625,STAR
1237648720148955318,161.6351321,-0.8557697107,19.39882,18.3913,17.85607,17.46761,17.32818,GALAXY
1237648720149020680,161.7379245,-1.015841899,17.46669,16.36004,15.87807,15.65679,15.56303,STAR
1237648720149020689,161.7416796,-0.9871104541,17.66388,18.01819,18.96769,18.32366,16.18336,STAR
1237648720149020696,161.7416467,-0.8460293662,17.70241,17.84848,18.15799,18.38987,18.71965,STAR
1237648720149020955,161.7408913,-0.9798737102,18.53678,17.96047,17.373,17.21301,17.18247,GALAXY
1237648720149020986,161.8112567,-1.020950417,19.28844,17.89368,17.29176,17.05897,16.92672,STAR
1237648720149086217,161.8815501,-0.9199193011,17.5803,15.91818,15.3324,15.12888,15.04031,STAR
1237648720149086328,161.9354758,-0.9505242049,17.58302,16.1223,15.61429,15.4367,15.37343,STAR
1237648720149086374,161.8843346,-0.9444978716,18.97204,17.9849,17.66618,17.43481,17.32352,GALAXY
1237648720149151773,162.047298,-0.8406337932,17.07819,15.49603,14.84319,14.54306,14.38931,STAR
1237648720149151860,162.0813465,-0.9417489129,19.43337,18.54425,18.21197,18.07626,17.99902,STAR
1237648720149151862,162.098584,-0.9146763011,18.30903,17.08338,16.65224,16.48205,16.39475,STAR
1237648720149151871,162.1200426,-0.9630642796,18.2861,18.11478,18.14232,18.02426,18.03402,QSO
1237648720149151888,162.1613267,-1.041705966,16.67229,15.52946,15.16349,15.04075,15.00277,STAR
1237648720149217362,162.177631,-1.007117476,18.04392,16.98619,16.67233,16.54937,16.49476,STAR
1237648720149217369,162.19974,-1.01466107,18.85257,17.86745,17.55789,17.43459,17.38357,STAR
1237648720149217394,162.2248113,-0.9877487669,16.86535,15.81168,15.47238,15.32898,15.27367,STAR
1237648720149217396,162.2465655,-0.9185420111,17.71105,16.34725,15.83003,15.60209,15.47698,STAR
1237648720149217472,162.305639,-1.003780829,19.18404,19.1997,19.1041,18.78402,18.68743,QSO
1237648720149217496,162.2042136,-0.9873624866,17.80165,16.61996,16.1181,15.85237,15.64157,GALAXY
1237648720149217569,162.289475,-0.9085488049,18.66761,16.83642,15.95352,15.51473,15.16474,GALAXY
1237648720149282913,162.3337182,-1.001236825,18.45831,17.09308,16.55146,16.36101,16.27274,STAR
1237648720149282917,162.3451997,-0.8469054349,19.45426,17.49314,16.74405,16.50129,16.34002,STAR
1237648720149282950,162.4100525,-0.9746699724,17.57672,16.30313,15.82177,15.6353,15.5685,STAR
1237648720149283041,162.4063775,-0.9071182945,18.41814,17.17549,16.63656,16.31784,16.1021,GALAXY
1237648720149348376,162.4924287,-1.037511669,19.16261,17.45277,16.81324,16.56124,16.44654,STAR
1237648720149348493,162.588828,-0.8720129298,17.37496,16.06552,15.63478,15.48339,15.42321,STAR
1237648720149348494,162.5862969,-0.8738372215,18.81535,16.69037,15.70883,15.31833,14.85697,GALAXY
1237648720149348522,162.5985101,-0.9908739372,18.02848,16.65369,16.06824,15.82721,15.70943,STAR
1237648720149348536,162.6110238,-0.8908447087,17.33813,15.96866,15.49672,15.33282,15.27834,STAR
1237648720149348588,162.5471497,-1.002056509,19.48367,18.1998,17.55522,17.15322,16.93752,GALAXY
1237648720149413909,162.6673956,-0.9009165474,16.52364,15.40187,15.08259,14.97577,14.95088,STAR
1237648705129414741,218.7291721,0.4581120493,16.97457,15.7859,15.32505,15.16091,15.08877,STAR
1237648705129480247,218.8321711,0.4757299901,16.75927,15.62012,15.041,14.71669,14.44965,GALAXY
1237648705129545834,219.083277,0.5762261733,18.70255,17.71797,17.34371,17.17482,17.1185,STAR
1237648705129611390,219.1969133,0.6279447314,19.54733,18.17471,17.46927,17.09822,16.84518,GALAXY
1237648705129611548,219.1376572,0.4328990374,19.20287,16.59277,15.70658,15.25103,14.89744,GALAXY
1237648705129677001,219.2504009,0.5647541107,19.07784,18.06951,17.70663,17.49811,17.31405,GALAXY
1237648705129807917,219.5617663,0.547663882,19.06822,17.80601,17.33803,17.16516,17.09147,STAR
1237648705129807919,219.5819712,0.4718527393,18.56313,18.53411,18.38498,18.37235,18.3623,QSO
1237648705129807921,219.582247,0.5958870568,17.89559,16.71264,16.2921,16.1399,16.07841,STAR
1237648705129807925,219.5886352,0.5108789335,19.14528,18.19967,17.89295,17.78337,17.73488,STAR
1237648705129808056,219.6611664,0.5692983234,19.47595,18.6116,18.52926,18.76056,18.28581,STAR
1237648705129808058,219.6651858,0.4410508032,19.29275,19.02275,18.92752,18.85194,18.76428,QSO
1237648705129873672,219.7797727,0.5086325558,17.27438,16.14879,15.72019,15.48375,15.35073,GALAXY
1237648705129939239,219.9387246,0.5312034654,18.9146,17.67455,16.96098,16.57482,16.29057,GALAXY
1237648705130004781,220.1224112,0.5840894315,16.93221,15.56652,14.92086,14.58185,14.3252,GALAXY
1237648705130070045,220.1776293,0.6065971583,18.73475,17.79811,17.46425,17.34566,17.29465,STAR
1237648705130070251,220.1815105,0.4647436034,19.5796,17.68983,16.74287,16.33313,16.0111,GALAXY
1237648705130070300,220.2475691,0.5615809395,19.33625,17.34765,16.35417,15.91167,15.58279,GALAXY
1237648705130266634,220.5992691,0.6189420402,18.37159,16.28451,15.44592,15.16673,15.01227,STAR
1237648705130266707,220.6831889,0.5983847179,19.28787,17.52747,16.75908,16.41961,16.23461,STAR
1237648705130266710,220.6841228,0.454116001,18.44022,18.02603,17.97474,18.0135,18.12117,STAR
1237648705130266723,220.7117312,0.4613387526,19.26163,17.71671,17.12826,16.89513,16.79474,STAR
1237648705130266734,220.7243306,0.5022303862,18.72794,17.20167,16.65129,16.43697,16.32,STAR
1237648705130332177,220.7765893,0.5618143483,19.24336,17.86197,17.30386,17.06635,16.94732,STAR
1237648705130332194,220.8054143,0.5892852464,19.57003,17.3458,16.40484,16.05693,15.8713,STAR
1237648705130332206,220.8102039,0.6321244219,19.49442,17.99958,17.41921,17.21484,17.10793,STAR
1237648705130397720,220.9195257,0.5138090611,19.03802,17.42171,16.71644,16.41698,16.23746,STAR
1237648705130397786,221.0127141,0.4634785707,18.75202,17.90223,17.58861,17.45896,17.41188,STAR
1237648705130397979,221.0113376,0.5380079257,19.43955,18.52889,18.24026,18.13412,18.05673,STAR
1237648705130463256,221.0417383,0.564546475,18.7746,17.64604,17.22892,17.07624,17.01672,STAR
1237648705130463258,221.0641256,0.5876184151,17.98792,16.4793,15.89139,15.68964,15.57897,STAR
1237648705130463306,221.1327369,0.4369736522,18.21947,16.94176,16.4855,16.34868,16.28067,STAR
1237648705130463329,221.1528564,0.451438122,18.72254,17.38212,16.82234,16.65747,16.55055,STAR
1237648705130463331,221.1632802,0.4839584519,17.88442,16.96119,16.64287,16.53269,16.48384,STAR
1237648705130528804,221.2272293,0.4511463077,18.60544,17.67091,17.41983,17.32616,17.2992,STAR
1237648705130528822,221.2572581,0.476426183,17.59142,16.66143,16.42614,16.34742,16.32363,STAR
1237648705130529024,221.2637264,0.5269787192,17.00244,15.55892,14.93361,14.58515,14.32871,GALAXY
1237648705130529052,221.2678582,0.4365628456,19.51547,18.58734,18.33786,18.23523,18.24343,STAR
1237648705130529068,221.2777376,0.4947321801,19.25605,18.11174,17.34868,16.93481,16.68558,GALAXY
1237648705130594334,221.3649932,0.4540146916,17.52671,16.10266,15.5727,15.35048,15.24569,STAR
1237648705130594400,221.4417135,0.5810836591,18.04508,16.81564,16.39389,16.24002,16.18995,STAR
1237648705130659862,221.4984006,0.5975122808,17.43719,16.50009,16.13932,16.01473,15.95873,STAR
1237648705130659937,221.5338532,0.6232233994,16.26559,15.31763,15.03526,14.92372,14.86764,STAR
1237648705130659988,221.5625405,0.5801587734,17.14242,15.63551,15.02396,14.78998,14.65014,STAR
1237648705130660006,221.5957744,0.5282112109,18.18575,16.91729,16.98115,17.01807,17.02806,STAR
1237648705130660009,221.5958569,0.4801838836,19.23104,18.20884,17.89136,17.78259,17.75736,STAR
1237648705130660082,221.5173497,0.5016905425,19.33756,17.0609,16.05876,15.67662,15.44594,STAR
1237648705130725414,221.6858026,0.5415732507,18.76614,17.47334,16.93288,16.72206,16.60205,STAR
1237648705130725422,221.6930663,0.4301411819,18.2921,17.17186,17.38653,17.5653,17.6834,STAR
1237648705130725430,221.7061314,0.5286858328,19.37555,18.27386,17.7944,17.60329,17.50417,STAR
1237646798137852371,121.8207518,0.9319903704,19.37035,17.34262,16.35286,15.924,15.58903,GALAXY
1237646798137918215,122.0878999,0.843146891,19.05249,17.03777,16.07633,15.63148,15.31245,GALAXY
1237646798138245746,122.8639945,0.8961508224,18.20631,16.89692,16.46658,16.31574,16.28902,STAR
1237646798138310950,122.9819452,0.9638569297,17.63113,16.55926,16.24861,16.14775,16.13221,STAR
1237646798138310972,122.988638,0.973742938,15.99172,14.98865,14.70003,14.64919,14.50626,STAR
1237646798138311265,122.9356354,0.8990855288,19.37706,18.44093,18.24528,18.19469,18.17668,STAR
1237646798138376220,123.0393857,0.9300704473,16.73877,15.68268,15.43654,15.38572,15.40208,STAR
1237646798138376303,123.0202645,0.9118745563,16.37119,15.28426,15.05225,14.98734,15.0114,STAR
1237646798138376717,123.0165354,0.8481453589,19.52481,18.21796,17.68045,17.46177,17.37293,STAR
1237646798138441918,123.2025005,0.9051299307,18.6522,17.52927,17.53732,17.58253,17.67018,STAR
1237646798138442159,123.2678952,0.9609934552,16.63293,15.27509,14.61367,14.50841,14.27292,STAR
1237646798138507365,123.3488072,0.9225236385,16.14538,15.07947,14.84144,14.77282,14.78681,STAR
1237646798138507574,123.4261304,0.8818838461,17.84565,16.82412,16.49827,16.38742,16.35545,STAR
1237646798138573236,123.5879603,0.9197386656,17.75484,16.59773,16.53687,16.56253,16.61154,STAR
1237646798138573554,123.5452677,0.9313921135,19.3623,18.1918,17.81977,17.69313,17.61249,STAR
1237646798138573693,123.6127771,0.9487870947,18.97095,17.07911,16.13754,15.65789,15.34548,GALAXY
1237646798138638462,123.6735605,0.8613485365,16.48326,15.04494,15.04021,14.29518,14.18345,STAR
1237646798138638712,123.7430415,1.006398633,18.98689,17.09758,16.18773,15.7323,15.46169,GALAXY
1237646798669546317,110.0700392,1.218734691,19.42591,18.42443,18.00135,17.79079,17.70945,STAR
1237646798669611941,110.2464537,1.364871806,18.58476,17.2945,16.42206,16.27426,15.89856,STAR
1237646798669612110,110.2753731,1.407069681,19.44881,17.06147,16.09691,15.75754,15.58153,STAR
1237646798669613281,110.2730305,1.424806619,19.58554,17.76914,16.91808,16.55439,16.34465,STAR
1237646798669743567,110.4555313,1.254180245,19.58684,17.73149,16.96642,16.67645,16.4914,STAR
1237646798669743668,110.4698503,1.228434849,19.42571,17.78678,17.11364,16.85967,16.67854,STAR
1237646798669808566,110.7306996,1.289661343,18.36269,16.79013,16.16286,15.91035,15.78032,STAR
1237646798673805620,119.8221026,1.324423012,19.11461,17.11108,16.35578,16.07985,15.94747,STAR
1237646798673871225,119.9972972,1.295618869,19.25602,17.7522,17.28004,17.11725,17.12696,STAR
1237646798673936842,120.124148,1.311372513,18.68312,16.80078,16.12189,15.88605,15.78726,STAR
1237646798674002003,120.194987,1.339231727,19.13375,17.84091,17.37001,17.20419,17.1407,STAR
1237646798674002852,120.2980709,1.359265937,19.41101,17.17151,16.17792,15.78271,15.51502,STAR
1237646798674133290,120.5478185,1.281227451,19.17278,17.30439,16.63581,16.43598,16.35109,STAR
1237648595579699667,244.5764969,-1.255263413,19.29697,18.08211,17.20792,16.74347,16.43762,GALAXY
1237648597190050276,243.907446,0.00239455974,18.71962,17.45311,16.88231,16.54723,16.2756,GALAXY
1237648597190115880,244.1023322,0.002619598146,19.35342,18.11187,17.45305,17.10616,16.88711,GALAXY
1237648597726658810,243.3470265,0.4241370626,19.25923,18.84224,18.85939,18.69218,18.76842,QSO
1237648672891011146,174.1644883,-0.9567074649,19.57255,18.59834,18.47911,18.45792,18.60459,STAR
1237648672919519703,239.3606352,-0.9166897272,19.23879,17.49932,16.53521,16.09223,15.76121,GALAXY
1237648672919584831,239.40207,-0.975878752,18.67422,17.42511,16.89116,16.67803,16.57392,STAR
1237648672921420193,243.567524,-0.8804458727,18.83577,17.25845,16.54556,16.13434,15.83491,GALAXY
1237648672921485632,243.7088761,-0.9156529608,17.61482,15.69639,14.77024,14.31876,13.95353,GALAXY
1237648672921485934,243.8473685,-0.8983432475,19.41207,18.88776,18.56437,18.58996,18.3926,QSO
1237648672921681954,244.1624119,-0.8898931268,18.99412,17.90879,17.46466,17.28111,17.20599,STAR
1237648672921813985,244.5126642,-0.9341826565,19.14963,18.00378,17.4657,17.1376,16.90036,GALAXY
1237648672921944252,244.8139448,-0.937774714,18.7809,19.0767,19.45117,19.74457,20.02123,STAR
1237648672922009716,244.9490533,-0.8942349045,19.15965,18.91703,18.61517,18.38544,18.42006,QSO
1237648672922206625,245.4938873,-0.9037423954,17.33854,16.27237,15.90035,15.75182,15.69667,STAR
1237648672922206684,245.3593715,-0.9053928865,19.38219,18.20107,17.8056,17.4992,17.41172,GALAXY
1237648672922206835,245.4176593,-0.8556051356,19.2266,17.27751,16.39126,15.95711,15.61498,GALAXY
1237648672922207003,245.4760412,-0.8599242697,19.41398,17.29078,16.33702,15.87626,15.48284,GALAXY
1237648672922272244,245.5388243,-0.872555232,19.19971,17.22391,16.29199,15.85335,15.48367,GALAXY
1237648703512838382,205.0729646,-0.6826117008,18.94325,17.02095,16.06735,15.63387,15.28098,GALAXY
1237648703513035145,205.6135979,-0.6571528596,18.88838,17.88406,17.42734,17.12453,16.98339,GALAXY
1237648703513100409,205.6955733,-0.6949289628,19.3652,18.1399,17.65534,17.4715,17.37664,STAR
1237648703513100457,205.6503963,-0.6283616752,19.46207,17.81834,17.01301,16.617,16.31902,GALAXY
1237648703513100535,205.7420141,-0.7654207565,18.34066,16.5023,15.64826,15.26125,14.95627,GALAXY
1237648703513100564,205.760907,-0.7420031042,18.86362,17.87739,17.46657,17.17367,17.04404,GALAXY
1237648703513165966,205.8072795,-0.7868191978,17.7933,16.90408,16.6164,16.30378,16.30438,GALAXY
1237648703513166063,205.9169873,-0.8335010267,19.14158,17.99588,17.53081,17.2301,17.13721,GALAXY
1237648703513231630,206.0447121,-0.7612420854,19.17263,18.06068,17.6305,17.33272,17.2204,GALAXY
1237648703513296955,206.1416484,-0.6787276726,18.57808,17.38363,17.39016,17.42856,17.48906,STAR
1237648703513296987,206.1712247,-0.8306258479,19.13297,18.72812,18.69815,18.67673,18.45058,QSO
1237648703513297074,206.1139515,-0.728211449,19.22582,18.9224,18.81053,18.69143,18.74117,QSO
1237648703513428076,206.3704304,-0.7982957496,19.15242,17.42991,16.57173,16.15933,15.85434,GALAXY
1237648703513428079,206.3741669,-0.7816732476,18.28101,17.18856,16.70175,16.33173,16.14626,GALAXY
1237648703513493526,206.5245798,-0.6988956621,19.18844,18.75792,18.86976,19.02108,19.25434,STAR
1237648703513493743,206.5766774,-0.8015861792,19.14205,17.96772,17.45321,17.09447,16.88161,GALAXY
1237648703513493807,206.6330657,-0.7243042664,18.92986,17.92031,17.41597,17.12756,17.03521,GALAXY
1237648703513559123,206.7980856,-0.7701831289,18.6924,17.7664,17.48753,17.38595,17.35225,STAR
1237648703513559257,206.8064741,-0.6712874874,18.3738,16.84218,16.10014,15.71413,15.41793,GALAXY
1237648703513690233,207.1038115,-0.8163265778,19.03027,17.92062,17.54537,17.40652,17.39518,STAR
1237648703513690404,207.0943716,-0.7669664371,17.92943,16.42391,15.79249,15.47063,15.23182,GALAXY
1237648703513755668,207.1466367,-0.6725931582,17.619,16.61343,16.47639,16.42638,16.43867,STAR
1237648703513755693,207.1816447,-0.7259489905,16.85941,15.83554,15.77641,15.7712,15.82794,STAR
1237648703513755710,207.2248563,-0.782370622,16.88578,15.99562,15.6586,15.51201,15.47617,STAR
1237648703513755720,207.2581291,-0.8300559196,15.85837,14.6398,14.627,14.65232,14.71224,STAR
